cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_em_coletivo
1;2003;2003m01;Rio de Janeiro;3304557;Capital;8
2;2003;2003m01;Rio de Janeiro;3304557;Capital;12
3;2003;2003m01;Rio de Janeiro;3304557;Capital;4
4;2003;2003m01;Rio de Janeiro;3304557;Capital;22
5;2003;2003m01;Rio de Janeiro;3304557;Capital;0
6;2003;2003m01;Rio de Janeiro;3304557;Capital;10
7;2003;2003m01;Rio de Janeiro;3304557;Capital;10
8;2003;2003m01;Rio de Janeiro;3304557;Capital;5
9;2003;2003m01;Rio de Janeiro;3304557;Capital;4
10;2003;2003m01;Rio de Janeiro;3304557;Capital;6
11;2003;2003m01;Rio de Janeiro;3304557;Capital;2
12;2003;2003m01;Rio de Janeiro;3304557;Capital;7
13;2003;2003m01;Rio de Janeiro;3304557;Capital;15
14;2003;2003m01;Rio de Janeiro;3304557;Capital;8
15;2003;2003m01;Rio de Janeiro;3304557;Capital;4
16;2003;2003m01;Rio de Janeiro;3304557;Capital;3
17;2003;2003m01;Rio de Janeiro;3304557;Capital;40
18;2003;2003m01;Rio de Janeiro;3304557;Capital;14
19;2003;2003m01;Rio de Janeiro;3304557;Capital;4
20;2003;2003m01;Rio de Janeiro;3304557;Capital;3
21;2003;2003m01;Rio de Janeiro;3304557;Capital;6
22;2003;2003m01;Rio de Janeiro;3304557;Capital;0
23;2003;2003m01;Rio de Janeiro;3304557;Capital;7
24;2003;2003m01;Rio de Janeiro;3304557;Capital;12
25;2003;2003m01;Rio de Janeiro;3304557;Capital;21
26;2003;2003m01;Rio de Janeiro;3304557;Capital;9
27;2003;2003m01;Rio de Janeiro;3304557;Capital;0
28;2003;2003m01;Rio de Janeiro;3304557;Capital;19
29;2003;2003m01;Rio de Janeiro;3304557;Capital;4
30;2003;2003m01;Rio de Janeiro;3304557;Capital;13
31;2003;2003m01;Rio de Janeiro;3304557;Capital;26
32;2003;2003m01;Rio de Janeiro;3304557;Capital;13
33;2003;2003m01;Rio de Janeiro;3304557;Capital;10
34;2003;2003m01;Rio de Janeiro;3304557;Capital;6
35;2003;2003m01;Rio de Janeiro;3304557;Capital;12
36;2003;2003m01;Rio de Janeiro;3304557;Capital;8
37;2003;2003m01;Rio de Janeiro;3304557;Capital;4
38;2003;2003m01;Rio de Janeiro;3304557;Capital;7
39;2003;2003m01;Seropédica;3305554;Baixada Fluminense;0
40;2003;2003m01;Itaguaí;3302007;Baixada Fluminense;0
41;2003;2003m01;Paracambi;3303609;Baixada Fluminense;0
42;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;8
43;2003;2003m01;Mesquita;3302858;Baixada Fluminense;1
44;2003;2003m01;Belford Roxo;3300456;Baixada Fluminense;3
45;2003;2003m01;"Queimados;Japeri";9999981;Baixada Fluminense;4
46;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;6
47;2003;2003m01;Nilópolis;3303203;Baixada Fluminense;4
48;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;9
49;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;29
50;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;22
51;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;2
52;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;9
53;2003;2003m01;São João de Meriti;3305109;Baixada Fluminense;7
54;2003;2003m01;"Magé;Guapimirim";9999982;Baixada Fluminense;2
55;2003;2003m01;Magé;3302502;Baixada Fluminense;4
56;2003;2003m01;"Itaboraí;Tanguá";9999983;Interior;29
57;2003;2003m01;São Gonçalo;3304904;Grande Niterói;12
58;2003;2003m01;São Gonçalo;3304904;Grande Niterói;8
59;2003;2003m01;São Gonçalo;3304904;Grande Niterói;29
60;2003;2003m01;São Gonçalo;3304904;Grande Niterói;11
61;2003;2003m01;Niterói;3303302;Grande Niterói;20
62;2003;2003m01;Niterói;3303302;Grande Niterói;15
63;2003;2003m01;Niterói;3303302;Grande Niterói;29
64;2003;2003m01;Niterói;3303302;Grande Niterói;0
65;2003;2003m01;Niterói;3303302;Grande Niterói;3
66;2003;2003m01;Maricá;3302700;Grande Niterói;3
67;2003;2003m01;Barra do Pirai;3300308;Interior;0
68;2003;2003m01;Resende;3304201;Interior;3
69;2003;2003m01;Barra Mansa;3300407;Interior;1
70;2003;2003m01;Valença;3306107;Interior;0
71;2003;2003m01;Rio das Flores;3304508;Interior;0
72;2003;2003m01;Volta Redonda;3306305;Interior;1
73;2003;2003m01;"Piraí;Pinheiral";9999988;Interior;0
74;2003;2003m01;Vassouras;3306206;Interior;0
75;2003;2003m01;"Miguel Pereira;Paty dos Alferes";9999999;Interior;0
76;2003;2003m01;Mendes;3302809;Interior;0
77;2003;2003m01;Engenheiro Paulo de Frontin;3301801;Interior;0
78;2003;2003m01;Itatiaia;3302254;Interior;0
79;2003;2003m01;"Porto Real;Quatis";9999992;Interior;2
80;2003;2003m01;São José do Vale do Rio Preto;3305158;Interior;0
81;2003;2003m01;Petrópolis;3303906;Interior;3
82;2003;2003m01;Petrópolis;3303906;Interior;0
83;2003;2003m01;Paraíba do Sul;3303708;Interior;0
84;2003;2003m01;"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior;0
85;2003;2003m01;Sapucaia;3305406;Interior;0
86;2003;2003m01;Teresópolis;3305802;Interior;0
87;2003;2003m01;Sumidouro;3305703;Interior;2
88;2003;2003m01;Carmo;3301207;Interior;0
89;2003;2003m01;Araruama;3300209;Interior;0
90;2003;2003m01;Rio Bonito;3304300;Interior;1
91;2003;2003m01;Silva Jardim;3305604;Interior;0
92;2003;2003m01;Casimiro de Abreu;3301306;Interior;0
93;2003;2003m01;Conceição de Macabú;3301405;Interior;0
94;2003;2003m01;"Macaé;Quissamã;Carapebus";9999984;Interior;1
95;2003;2003m01;Saquarema;3305505;Interior;0
96;2003;2003m01;São Pedro da Aldeia;3305208;Interior;0
97;2003;2003m01;"Cabo Frio;Arraial do Cabo";9999985;Interior;2
98;2003;2003m01;Armação dos Búzios;3300233;Interior;1
99;2003;2003m01;Rio das Ostras;3304524;Interior;1
100;2003;2003m01;Iguaba Grande;3301876;Interior;0
101;2003;2003m01;Campos dos Goytacazes;3301009;Interior;4
102;2003;2003m01;Itaocara;3302106;Interior;1
103;2003;2003m01;"Santo Antônio de Pádua;Aperibé";9999993;Interior;0
104;2003;2003m01;Miracema;3303005;Interior;0
105;2003;2003m01;Laje do Muriaé;3302304;Interior;0
106;2003;2003m01;Porciúncula;3304102;Interior;0
107;2003;2003m01;"Natividade;Varre-Sai";9999997;Interior;0
108;2003;2003m01;São Fidélis;3304805;Interior;0
109;2003;2003m01;Cambuci;3300902;Interior;0
110;2003;2003m01;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior;0
111;2003;2003m01;Bom Jesus de Itabapoana;3300605;Interior;0
112;2003;2003m01;São João da Barra;3305000;Interior;0
113;2003;2003m01;"Campos dos Goytacazes;São Francisco de Itabapoana";9999987;Interior;1
114;2003;2003m01;Nova Friburgo;3303401;Interior;5
115;2003;2003m01;Duas Barras;3301603;Interior;0
116;2003;2003m01;Cantagalo;3301108;Interior;0
117;2003;2003m01;"Cordeiro;Macuco";9999998;Interior;0
118;2003;2003m01;São Sebastião do Alto;3305307;Interior;0
119;2003;2003m01;Santa Maria Madalena;3304607;Interior;0
120;2003;2003m01;Trajano de Morais;3305901;Interior;0
121;2003;2003m01;Bom Jardim;3300506;Interior;0
122;2003;2003m01;Cachoeiras de Macacu;3300803;Interior;0
123;2003;2003m01;Mangaratiba;3302601;Interior;0
124;2003;2003m01;Angra dos Reis;3300100;Interior;2
125;2003;2003m01;Paraty;3303807;Interior;0
126;2003;2003m01;Rio Claro;3304409;Interior;0
127;2003;2003m02;Rio de Janeiro;3304557;Capital;13
128;2003;2003m02;Rio de Janeiro;3304557;Capital;13
129;2003;2003m02;Rio de Janeiro;3304557;Capital;6
130;2003;2003m02;Rio de Janeiro;3304557;Capital;14
131;2003;2003m02;Rio de Janeiro;3304557;Capital;0
132;2003;2003m02;Rio de Janeiro;3304557;Capital;19
133;2003;2003m02;Rio de Janeiro;3304557;Capital;23
134;2003;2003m02;Rio de Janeiro;3304557;Capital;8
135;2003;2003m02;Rio de Janeiro;3304557;Capital;5
136;2003;2003m02;Rio de Janeiro;3304557;Capital;5
137;2003;2003m02;Rio de Janeiro;3304557;Capital;2
138;2003;2003m02;Rio de Janeiro;3304557;Capital;12
139;2003;2003m02;Rio de Janeiro;3304557;Capital;10
140;2003;2003m02;Rio de Janeiro;3304557;Capital;15
141;2003;2003m02;Rio de Janeiro;3304557;Capital;3
142;2003;2003m02;Rio de Janeiro;3304557;Capital;8
143;2003;2003m02;Rio de Janeiro;3304557;Capital;42
144;2003;2003m02;Rio de Janeiro;3304557;Capital;14
145;2003;2003m02;Rio de Janeiro;3304557;Capital;11
146;2003;2003m02;Rio de Janeiro;3304557;Capital;7
147;2003;2003m02;Rio de Janeiro;3304557;Capital;5
148;2003;2003m02;Rio de Janeiro;3304557;Capital;0
149;2003;2003m02;Rio de Janeiro;3304557;Capital;4
150;2003;2003m02;Rio de Janeiro;3304557;Capital;12
151;2003;2003m02;Rio de Janeiro;3304557;Capital;16
152;2003;2003m02;Rio de Janeiro;3304557;Capital;8
153;2003;2003m02;Rio de Janeiro;3304557;Capital;0
154;2003;2003m02;Rio de Janeiro;3304557;Capital;5
155;2003;2003m02;Rio de Janeiro;3304557;Capital;10
156;2003;2003m02;Rio de Janeiro;3304557;Capital;11
157;2003;2003m02;Rio de Janeiro;3304557;Capital;27
158;2003;2003m02;Rio de Janeiro;3304557;Capital;21
159;2003;2003m02;Rio de Janeiro;3304557;Capital;20
160;2003;2003m02;Rio de Janeiro;3304557;Capital;13
161;2003;2003m02;Rio de Janeiro;3304557;Capital;14
162;2003;2003m02;Rio de Janeiro;3304557;Capital;12
163;2003;2003m02;Rio de Janeiro;3304557;Capital;4
164;2003;2003m02;Rio de Janeiro;3304557;Capital;1
165;2003;2003m02;Seropédica;3305554;Baixada Fluminense;1
166;2003;2003m02;Itaguaí;3302007;Baixada Fluminense;1
167;2003;2003m02;Paracambi;3303609;Baixada Fluminense;0
168;2003;2003m02;Nova Iguaçu;3303500;Baixada Fluminense;3
169;2003;2003m02;Mesquita;3302858;Baixada Fluminense;7
170;2003;2003m02;Belford Roxo;3300456;Baixada Fluminense;3
171;2003;2003m02;"Queimados;Japeri";9999981;Baixada Fluminense;0
172;2003;2003m02;Nova Iguaçu;3303500;Baixada Fluminense;4
